Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
8410,31,1,19,0,5390,0,2,0,2,0,22,0,1,0,1,1,89,0,0,0,0,2,1
64756,59,0,4,3,5534,3,0,3,3,0,21,3,0,3,1,1,21,0,0,0,1,1,1
30257,24,0,10,2,8159,2,0,3,0,0,11,1,1,3,1,1,74,0,0,0,3,1,1
65791,36,0,7,0,3989,2,0,2,1,0,27,2,2,2,1,2,50,1,0,0,2,2,1
65026,56,1,41,0,4821,1,3,0,0,1,71,2,0,0,2,1,68,0,0,0,1,2,1
24368,38,0,3,4,9977,1,0,1,3,0,37,1,1,0,1,1,47,0,0,1,1,0,0
64970,47,1,23,0,3681,1,0,2,1,1,75,2,0,3,0,2,93,0,0,0,2,2,0
36999,48,1,16,1,11223,0,3,2,2,0,5,3,1,4,0,1,88,0,0,0,0,1,1
32714,57,1,44,0,3773,2,2,2,1,1,39,2,1,4,0,1,75,0,0,0,1,2,1
15944,24,0,1,2,7319,3,0,0,1,1,57,4,2,4,0,0,45,0,0,1,2,1,0
29972,30,0,12,0,5443,2,0,0,1,0,51,2,2,1,0,2,17,0,0,0,2,2,0
9063,29,0,6,2,8950,3,2,3,2,0,26,3,2,0,1,1,38,0,0,0,3,2,0
21896,47,0,38,4,9039,1,3,2,1,0,78,0,1,0,0,2,68,0,0,0,2,1,0
28098,31,1,22,2,8090,1,2,2,4,1,30,0,0,2,1,2,84,0,0,0,2,2,1
22068,40,0,30,4,6350,2,0,0,0,0,98,2,2,0,2,0,96,0,0,0,2,0,1
17696,40,0,4,1,5176,3,0,0,0,0,48,2,2,0,0,2,21,1,0,0,2,0,0
55668,19,0,9,4,8242,0,2,0,2,1,17,2,2,3,1,2,63,0,0,0,1,0,0
19288,33,0,1,1,8733,2,0,1,1,1,86,2,2,0,1,2,19,0,0,0,2,1,1
17034,49,0,37,3,6252,1,0,2,2,0,60,1,0,4,2,1,70,0,0,0,2,0,1
9697,29,1,9,2,7538,1,2,0,0,0,10,1,1,0,2,2,76,0,0,0,2,0,1
17209,51,0,41,1,8733,2,0,0,2,1,18,3,0,3,1,2,72,0,0,0,2,0,1
45399,57,0,33,2,8201,2,3,0,0,0,95,4,1,1,1,1,95,0,0,0,1,2,1
58984,39,0,1,1,8079,0,0,2,1,0,23,3,2,0,0,1,20,0,0,0,3,1,0
24208,36,1,13,3,5874,1,0,0,0,0,16,2,2,1,1,1,40,0,0,0,2,0,0
14291,54,1,5,0,4656,2,2,0,0,1,63,2,2,0,1,1,60,0,0,0,2,1,0
20748,48,1,9,0,4987,1,0,0,1,0,92,0,0,0,0,1,23,0,0,1,2,2,0
13394,23,1,13,4,12507,1,0,2,0,0,86,2,2,1,1,1,83,0,0,1,2,1,1
65251,45,0,21,2,7571,2,3,0,1,1,30,0,1,1,0,2,67,1,0,0,1,2,1
6885,48,1,32,0,3535,2,2,0,0,1,48,1,1,0,2,1,84,0,0,0,2,1,1
68576,45,0,34,1,8330,0,0,0,0,1,58,1,1,4,1,1,91,1,0,0,2,0,1
